#Cell_Idx|Cell_Z|Cell_X|Master_Idx|Parent_Idx|Tier
#C_Idx|C_Z|C_X|M_Idx|P_Idx|Tier
929|-4963|8927|1|155|3
930|-9699|3123|3|50|3
931|-17416|8988|9|63|3
932|-20577|19786|11|98|3
933|2547|-21048|13|194|3
934|-12042|-12069|4|31|3
935|-4190|-183|3|146|3
936|-17961|5332|9|150|3
937|-7488|19045|6|184|3
938|-13731|7034|9|175|3
939|13917|15339|12|109|3
940|14338|22376|12|128|3
941|19400|9855|5|73|3
942|2696|19532|10|126|3
943|17372|15230|12|17|3
944|-21035|20271|11|98|3
945|19601|-19889|13|208|3
946|-22982|-23790|4|130|3
947|22854|9410|5|216|3
948|-19210|17091|11|98|3
949|9230|-14352|13|220|3
950|6435|10374|12|119|3
951|21179|22650|12|21|3
952|822|-6088|2|125|3
953|-18342|8166|9|72|3
954|19923|7459|5|38|3
955|20338|3444|5|38|3
956|-2332|-4831|2|88|3
957|-201|3369|1|55|3
958|911|14713|10|133|3
959|-1856|-4179|2|146|3
960|11484|8225|12|66|3
961|22862|-11266|13|77|3
962|-2136|20737|6|25|3
963|10771|-17502|13|190|3
964|6291|9076|12|41|3
965|364|-2088|2|163|3
966|-4455|20100|6|25|3
967|-10561|6265|7|140|3
968|8300|11425|12|178|3
969|21411|12661|5|59|3
970|-15151|-26|9|105|3
971|23630|-10349|5|203|3
972|-1876|-22497|2|44|3
973|-5468|7782|1|43|3
974|10525|5350|12|26|3
975|15182|-21583|13|65|3
976|-5678|-11010|2|172|3
977|-19956|8333|9|72|3
978|-2418|11996|10|185|3
979|-23774|4659|8|60|3
980|-14679|-9660|4|53|3
981|6092|11066|12|119|3
982|-2929|19715|6|25|3
983|-4450|3689|1|93|3
984|-19501|-120|8|213|3
985|-15787|-6832|4|114|3
986|6621|-1602|5|134|3
987|-19909|-22904|4|89|3
988|-6791|-19981|4|104|3
989|-3015|11070|10|155|3
990|-2000|17968|6|133|3
991|-3212|-2334|2|146|3
992|11440|-2984|5|103|3
993|1322|-1309|2|151|3
994|3711|2800|12|102|3
995|-20453|14620|11|180|3
996|7242|-19401|13|120|3
997|20301|21477|12|21|3
998|-10759|19906|6|168|3
999|-1595|-8448|2|95|3
1000|2876|21864|6|159|3
1001|8183|7487|12|40|3
1002|20402|-7888|5|203|3
1003|-22922|-7577|8|56|3
1004|-15556|-1547|9|166|3
1005|21560|-6282|5|181|3
1006|-4852|-19157|4|104|3
1007|16410|-23219|13|27|3
1008|-1306|-17057|2|75|3
1009|-15995|-13039|4|90|3
1010|-21294|-7229|8|56|3
1011|17162|-23068|13|27|3
1012|3220|-9956|2|32|3
1013|3434|-2042|2|19|3
1014|23767|3815|5|82|3
1015|6049|-483|5|96|3
1016|-14122|15214|7|145|3
1017|16018|-19935|13|65|3
1018|17299|17333|12|129|3
1019|-14480|367|9|105|3
1020|-18000|-21142|4|187|3
1021|2655|3921|12|102|3
1022|-18815|19104|11|98|3
1023|-1467|5540|1|155|3
1024|11917|14184|12|20|3
1025|18461|10458|5|73|3
1026|5607|18657|10|61|3
1027|-18926|17216|11|98|3
1028|15292|16926|12|109|3
1029|-8291|7883|7|43|3
1030|-7177|-12508|4|16|3
1031|-10359|6302|7|140|3
1032|9842|-1983|5|183|3
1033|23104|9540|5|216|3
1034|-18869|-19970|4|89|3
1035|10691|-16107|13|220|3
1036|10517|15867|12|154|3
1037|15978|-2036|5|78|3
1038|6482|11232|12|178|3
1039|-6687|-16070|4|122|3
1040|44|-14026|2|111|3
1041|-3892|-6344|2|209|3
1042|12868|9889|12|199|3
1043|-19115|-4525|8|213|3
1044|23828|-23973|13|94|3
1045|1016|-4179|2|125|3
1046|-21301|5013|8|60|3
1047|-11758|-19798|4|91|3
1048|-4461|17775|6|25|3
1049|-23889|-13054|4|201|3
1050|-1646|12818|10|185|3
1051|-549|21467|6|177|3
1052|20644|-5779|5|181|3
1053|7871|23509|10|74|3
1054|22443|12490|5|207|3
1055|5311|1760|12|102|3
1056|2972|-20327|13|143|3
1057|-3032|-10700|2|64|3
1058|-13619|-10143|4|53|3
1059|1826|336|1|151|3
1060|17802|-14006|13|189|3
1061|-7740|11878|7|171|3
1062|17198|-15499|13|161|3
1063|1479|19973|6|126|3
1064|-7817|14896|6|158|3
1065|8675|7796|12|40|3
1066|-23709|-17375|4|100|3
1067|-17246|-2213|9|213|3
1068|8330|8614|12|41|3
1069|-13262|10238|7|167|3
1070|20158|18201|12|80|3
1071|-7678|-22763|4|182|3
1072|4092|-22414|13|143|3
1073|15171|15862|12|109|3
1074|7761|3077|12|142|3
1075|-12088|-13847|4|113|3
1076|-13690|8907|7|63|3
1077|-18678|-8702|4|136|3
1078|-12603|-2198|9|157|3
1079|-8060|9829|7|171|3
1080|12207|-15802|13|195|3
1081|-19507|14264|11|180|3
1082|-16030|-3566|9|166|3
1083|-11470|17064|6|132|3
1084|-12453|-23185|4|70|3
1085|4727|1197|12|102|3
1086|-11536|-18189|4|108|3
1087|-4477|22759|6|49|3
1088|-757|7836|1|155|3
1089|13532|17161|12|110|3
1090|12671|23906|12|128|3
1091|8279|13701|12|79|3
1092|20205|-21590|13|176|3
1093|-15176|-13380|4|90|3
1094|-18489|11377|9|204|3
1095|-12955|2673|9|50|3
1096|-17035|-11953|4|116|3
1097|-21831|7100|8|72|3
1098|15952|20770|12|128|3
1099|-7176|-23553|4|182|3
1100|-7929|19434|6|184|3
1101|-3050|609|1|55|3
1102|-20531|-19154|4|130|3
1103|5546|-1215|5|96|3
1104|-10229|-130|9|144|3
1105|-525|9563|10|155|3
1106|-5675|22288|6|49|3
1107|22864|-11605|13|77|3
1108|-4873|3146|3|93|3
1109|-8019|-23350|4|182|3
1110|1989|11799|10|18|3
1111|2338|2508|1|102|3
1112|23371|-11050|13|203|3
1113|18125|-5468|5|181|3
1114|18449|14025|12|17|3
1115|-14632|22010|6|173|3
1116|-1335|-7577|2|95|3
1117|21284|15342|12|92|3
1118|8955|17173|12|154|3
1119|-789|6308|1|22|3
1120|-7001|19721|6|49|3
1121|-12788|-21752|4|70|3
1122|14492|8428|12|199|3
1123|-16965|23867|11|202|3
1124|-17338|20835|11|98|3
1125|7401|6522|12|40|3
1126|-23569|-23927|4|130|3
1127|1715|17015|10|48|3
1128|16359|4203|5|36|3
1129|6857|-2523|5|134|3
1130|-6292|-15371|4|122|3
1131|-1960|15924|10|133|3
1132|-23466|20323|11|174|3
1133|2368|23745|6|177|3
1134|22604|20506|12|80|3
1135|3305|21939|6|159|3
1136|706|6686|10|22|3
1137|-11362|5077|7|54|3
1138|12429|13476|12|20|3
1139|-12201|9010|7|115|3
1140|-22287|21834|11|174|3
1141|-17542|16426|11|180|3
1142|10536|-23357|13|153|3
1143|-12842|6048|9|175|3
1144|5063|14263|10|29|3
1145|-4757|-19522|4|104|3
1146|-6070|-4627|2|209|3
1147|-12570|1751|9|105|3
1148|-3903|-1155|3|146|3
1149|3372|-8075|2|218|3
1150|21657|-15738|13|51|3
1151|-22835|10497|9|160|3
1152|10826|-20220|13|84|3
1153|-19798|5972|9|72|3
1154|20286|8850|5|73|3
1155|11288|4580|5|162|3
1156|-2896|-4221|2|88|3
1157|2172|8086|10|22|3
1158|-18823|-8477|4|136|3
1159|-15216|1914|9|214|3
1160|9791|-13031|13|220|3
1161|-19597|23474|11|202|3
1162|18113|-18320|13|161|3
1163|23467|-10009|5|203|3
1164|-588|11678|10|185|3
1165|22776|-21324|13|94|3
1166|-3950|2126|1|93|3
1167|-5445|-7801|2|209|3
1168|-5911|-19591|4|104|3
1169|15111|-9604|13|135|3
1170|-7150|-2947|3|87|3
1171|-18691|-12662|4|123|3
1172|-6542|988|3|93|3
1173|-16853|-15360|4|90|3
1174|20396|11464|5|59|3
1175|9304|5166|12|26|3
1176|11640|-21069|13|190|3
1177|20685|-17110|13|191|3
1178|6119|10397|12|119|3
1179|8273|7548|12|40|3
1180|19013|861|5|131|3
1181|-17984|8740|9|204|3
1182|-1226|12263|10|185|3
1183|615|-16025|2|24|3
1184|-7998|10064|7|171|3
1185|-17178|23867|11|202|3
1186|16904|19144|12|217|3
1187|17041|658|5|36|3
1188|-11418|-526|9|144|3
1189|-23056|18780|11|174|3
1190|-6684|-18463|4|104|3
1191|-19443|-18125|4|89|3
1192|8050|20212|12|74|3
1193|-19145|19980|11|98|3
1194|16192|23568|12|128|3
1195|20373|-11290|13|221|3
1196|-3823|20419|6|25|3
1197|5258|-17437|13|170|3
1198|-14572|9165|7|63|3
1199|-8046|-1802|3|215|3
1200|16658|-2263|5|78|3
1201|3263|-3322|2|19|3
1202|6374|14725|12|186|3
1203|19373|-3159|5|71|3
1204|-6893|21045|6|49|3
1205|-20665|-21484|4|130|3
1206|-23281|16953|11|174|3
1207|-15854|20176|11|173|3
1208|17694|-95|5|131|3
1209|-12495|-16304|4|39|3
1210|13040|-921|5|78|3
1211|19623|-6195|5|181|3
1212|14026|-18193|13|15|3
1213|21198|17947|12|80|3
1214|18273|7414|5|169|3
1215|-356|-17849|2|75|3
1216|5836|-808|5|96|3
1217|-18151|-1743|8|213|3
1218|-14509|-7092|4|114|3
1219|-23054|-14159|4|201|3
1220|-22103|8319|9|160|3
1221|1777|8977|10|188|3
1222|16124|11839|12|179|3
1223|-17275|-21062|4|187|3
1224|18753|-11022|13|221|3
1225|230|-4466|2|125|3
1226|21452|3391|5|82|3
1227|-13390|-8054|4|53|3
1228|-3863|23279|6|49|3
1229|-2978|23687|6|49|3
1230|4207|-8479|2|218|3
1231|3318|21564|6|159|3
1232|5836|-8126|2|218|3
1233|21554|6224|5|107|3
1234|16684|-7250|5|141|3
1235|19221|-15162|13|101|3
1236|7934|-9741|13|58|3
1237|-1973|-1480|1|163|3
1238|-19280|-7105|8|136|3
1239|-21797|-4660|8|192|3
1240|20346|-18040|13|191|3
1241|-18321|1955|9|150|3
1242|1943|-6859|2|125|3
1243|-11710|-12190|4|113|3
1244|6780|-8955|13|58|3
1245|-31|7265|1|22|3
1246|187|456|1|55|3
1247|-889|1692|1|55|3
1248|17837|13086|12|17|3
1249|-9361|23302|6|47|3
1250|4470|7718|12|137|3
1251|-1091|-19895|2|75|3
1252|-2560|15417|10|133|3
1253|-8584|7865|7|43|3
1254|-10535|-7008|4|165|3
1255|21273|1960|5|82|3
1256|13559|9203|12|199|3
1257|3873|11818|10|118|3
1258|-21560|-6439|8|56|3
1259|-1664|-14510|2|83|3
1260|-1029|-15425|2|83|3
1261|-400|-21516|2|67|3
1262|12318|-21713|13|206|3
1263|11315|11871|12|57|3
1264|-8601|-7563|4|165|3
1265|11593|-1096|5|103|3
1266|6152|8041|12|41|3
1267|-18793|-6857|4|136|3
1268|14491|-13833|13|195|3
1269|15052|-5095|5|141|3
1270|15797|7304|5|68|3
1271|23705|-827|5|82|3
1272|-11063|-3033|9|157|3
1273|19402|9534|5|73|3
1274|-7552|-10871|4|172|3
1275|2661|-19471|13|143|3
1276|-8029|10947|7|171|3
1277|15157|22071|12|128|3
1278|5467|-9532|2|218|3
1279|6554|-16435|13|170|3
1280|10623|-21309|13|84|3
1281|23271|-18399|13|191|3
1282|21010|-6438|5|181|3
1283|-19786|-5518|8|136|3
1284|-2751|3414|1|55|3
1285|22254|13905|5|207|3
1286|7652|1939|12|142|3
1287|1200|-1658|2|151|3
1288|-10388|22283|6|47|3
1289|4208|6505|12|22|3
1290|-7581|-20250|4|104|3
1291|7129|-4677|2|198|3
1292|-11370|-5203|4|114|3
1293|-1041|5790|1|22|3
1294|4969|-11755|2|218|3
1295|4098|7653|12|22|3
1296|17525|21031|12|217|3
1297|-7881|-746|3|215|3
1298|12244|18250|12|76|3
1299|16177|-12396|13|135|3
1300|-12203|-10564|4|53|3
1301|-11554|-871|9|144|3
1302|353|21843|6|177|3
1303|18909|-845|5|131|3
1304|-16908|-5004|8|166|3
1305|-5868|3068|3|93|3
1306|-37|-3108|2|125|3
1307|19779|-15829|13|101|3
1308|23344|13823|5|207|3
1309|-8611|8013|7|43|3
1310|-14485|537|9|105|3
1311|-14612|-9114|4|53|3
1312|-21391|22729|11|202|3
1313|-15202|-8349|4|53|3
1314|-8167|-2429|3|215|3
1315|3710|19513|10|69|3
1316|-6150|-9602|2|172|3
1317|11970|-12157|13|195|3
1318|-21405|23604|11|202|3
1319|22567|-12454|13|77|3
1320|12377|-16574|13|15|3
1321|-12098|-18274|4|91|3
1322|-20282|10340|9|160|3
1323|16901|3293|5|36|3
1324|-3278|5344|1|155|3
1325|-15645|16618|11|145|3
1326|-20599|8078|9|72|3
1327|-16501|13671|7|180|3
1328|1219|10026|10|188|3
1329|6043|-14338|13|139|3
1330|-6116|-23758|4|104|3
1331|-5496|-20282|4|104|3
1332|-17916|-21305|4|187|3
1333|-13324|-15531|4|90|3
1334|5015|8061|12|137|3
1335|2004|-10257|2|32|3
1336|3410|16825|10|48|3
1337|-827|-6685|2|95|3
1338|12030|-6032|5|106|3
1339|4146|518|12|156|3
1340|5094|6342|12|33|3
1341|-21892|4863|8|60|3
1342|-17153|-8935|4|116|3
1343|-23107|-13017|4|201|3
1344|22021|-5374|5|181|3
1345|19523|5074|5|38|3
1346|-419|-6622|2|95|3
1347|-4370|154|3|93|3
1348|6458|-6112|2|198|3
1349|-19893|8767|9|160|3
1350|10174|-20428|13|84|3
1351|11027|18573|12|124|3
1352|-17543|-7336|4|136|3
1353|-10271|8906|7|115|3
1354|15344|10002|12|179|3
1355|-2164|21785|6|25|3
1356|20314|-19494|13|208|3
1357|14276|-6040|5|141|3
1358|-15893|4421|9|214|3
1359|-11514|9477|7|115|3
1360|9848|11075|12|57|3
1361|-23935|-18374|4|130|3
1362|-19090|22476|11|202|3
1363|-3961|-18890|2|104|3
1364|-11568|9500|7|115|3
1365|16116|22087|12|128|3
1366|10445|2611|5|193|3
1367|20007|-23310|13|42|3
1368|-11674|-8815|4|165|3
1369|856|-1988|2|151|3
1370|14861|-17129|13|15|3
1371|-12539|2102|9|50|3
1372|-14602|-22330|4|70|3
1373|-19341|-320|8|213|3
1374|-20922|10219|9|160|3
1375|3354|-11478|2|32|3
1376|15212|-12822|13|135|3
1377|-7460|-4872|3|87|3
1378|-6293|1962|3|93|3
1379|-11796|-8260|4|165|3
1380|-9047|18440|6|168|3
1381|10387|-23412|13|153|3
1382|14157|4648|5|162|3
1383|-2977|2311|1|55|3
1384|-23661|-17655|4|100|3
1385|6389|-1208|5|134|3
1386|-2254|-5419|2|88|3
1387|-16670|-21171|4|187|3
1388|-8252|252|3|93|3
1389|16028|-15347|13|15|3
1390|22935|-2322|5|71|3
1391|9735|887|5|86|3
1392|-6487|-4314|3|87|3
1393|-15528|-13390|4|90|3
1394|-12146|22557|6|200|3
1395|19182|6765|5|38|3
1396|14354|13254|12|20|3
1397|-10488|14506|7|132|3
1398|8590|5833|12|219|3
1399|-8186|17445|6|184|3
1400|15793|-15608|13|15|3
1401|-13451|-23563|4|70|3
1402|-20889|12114|9|204|3
1403|19413|18853|12|112|3
1404|-21552|-6966|8|56|3
1405|-16658|13423|7|180|3
1406|17048|16212|12|129|3
1407|-10341|-7243|4|165|3
1408|-3387|-23918|2|44|3
1409|-17877|1828|9|150|3
1410|-4993|17994|6|184|3
1411|14179|-13826|13|195|3
1412|-3306|-17131|2|122|3
1413|11408|16621|12|76|3
1414|16222|6759|5|68|3
1415|13074|388|5|78|3
1416|-5073|-1715|3|146|3
1417|-14313|13198|7|167|3
1418|14667|5011|5|68|3
1419|2646|-789|2|96|3
1420|-5130|1422|3|93|3
1421|-9|9762|10|138|3
1422|16888|-21565|13|27|3
1423|-14752|618|9|105|3
1424|21611|-21286|13|176|3
1425|1987|-7559|2|32|3
1426|-22601|18028|11|174|3
1427|17518|-9666|13|35|3
1428|-7261|-2032|3|87|3
1429|-11357|-14001|4|113|3
1430|-1155|-7502|2|95|3
1431|-22204|-3522|8|192|3
1432|16604|14928|12|17|3
1433|-10763|5462|7|54|3
1434|-14758|23266|6|200|3
1435|-7481|9136|7|43|3
1436|-22464|655|8|196|3
1437|-21924|-12296|4|201|3
1438|7247|-3072|5|134|3
1439|-7727|20394|6|49|3
1440|19186|19309|12|112|3
1441|3649|18310|10|61|3
1442|-21376|-1757|8|192|3
1443|17789|14343|12|17|3
1444|-22323|-1420|8|192|3
1445|-12009|-16458|4|39|3
1446|2290|8527|10|22|3
1447|-21179|-21886|4|130|3
1448|-14710|21214|6|173|3
1449|-18654|5099|9|150|3
1450|-12219|-2172|9|157|3
1451|1276|-2621|2|125|3
1452|15314|2835|5|36|3
1453|19292|-4091|5|181|3
1454|-708|17774|10|133|3
1455|10812|3733|5|193|3
1456|-2626|20309|6|25|3
1457|4763|-22716|13|143|3
1458|21762|-9808|5|203|3
1459|2515|11331|10|18|3
1460|16460|-7215|5|141|3
1461|20881|-17451|13|191|3
1462|151|-26|1|55|3
1463|188|708|1|55|3
1464|20043|-22950|13|42|3
1465|-5886|7474|1|43|3
1466|-23979|23316|11|174|3
1467|-8306|-7211|4|87|3
1468|8995|12733|12|178|3
1469|21900|6705|5|107|3
1470|-23967|-20621|4|130|3
1471|16106|3567|5|36|3
1472|-8156|-18115|4|108|3
1473|7370|-7400|13|62|3
1474|-3135|22938|6|49|3
1475|-12843|-22317|4|70|3
1476|8620|13209|12|79|3
1477|-19612|-18089|4|89|3
1478|-16572|11995|7|204|3
1479|11165|5673|12|162|3
1480|17174|16110|12|129|3
1481|-8361|6831|7|43|3
1482|-11955|-13479|4|113|3
1483|21347|-21155|13|176|3
1484|6892|-20112|13|120|3
1485|-1086|17406|10|133|3
1486|-22410|22437|11|174|3
1487|-11887|-21784|4|70|3
1488|8264|-17741|13|121|3
1489|4301|12045|10|118|3
1490|-7306|-5927|2|87|3
1491|18883|-560|5|131|3
1492|6624|20425|10|74|3
1493|2461|13913|10|29|3
1494|5025|-18230|13|143|3
1495|-9311|-17820|4|108|3
1496|-12213|-17205|4|108|3
1497|22260|-16431|13|51|3
1498|-8718|7201|7|43|3
1499|19409|7901|5|73|3
1500|-4449|-9497|2|64|3
1501|-1306|9417|10|155|3
1502|-23624|-14014|4|201|3
1503|-10086|-22301|4|30|3
1504|-678|17744|10|133|3
1505|-18275|-7679|4|136|3
1506|21386|-6251|5|181|3
1507|104|-21430|2|67|3
1508|18289|8590|5|73|3
1509|-13787|-5664|4|114|3
1510|-17458|-23624|4|187|3
1511|-19061|-2488|8|213|3
1512|16513|-8121|13|35|3
1513|-20543|8225|9|160|3
1514|21688|18688|12|80|3
1515|7905|-3829|5|134|3
1516|-10612|2212|9|50|3
1517|6995|7744|12|33|3
1518|68|-9612|2|32|3
1519|-21037|-12695|4|123|3
1520|-4753|-19787|4|104|3
1521|8482|-4662|5|198|3
1522|-7551|9728|7|171|3
1523|20830|-16657|13|51|3
1524|-16652|22505|11|173|3
1525|20376|10139|5|73|3
1526|11812|2633|5|193|3
1527|20227|16234|12|92|3
1528|-15447|-17921|4|187|3
1529|17023|9372|5|34|3
1530|-17763|18890|11|98|3
1531|14702|-10588|13|135|3
1532|8046|-11344|13|58|3
1533|-17414|-14958|4|123|3
1534|1972|16194|10|48|3
1535|396|-13903|2|111|3
1536|-1448|16096|10|133|3
1537|13301|6307|5|162|3
1538|11596|-15346|13|195|3
1539|9918|19621|12|124|3
1540|4733|10317|12|119|3
1541|665|19609|6|126|3
1542|-19784|15559|11|180|3
1543|-20433|7576|9|72|3
1544|-18552|4948|9|150|3
1545|22265|3306|5|82|3
1546|12203|-21180|13|190|3
1547|-15686|-20665|4|187|3
1548|5702|1207|12|102|3
1549|-12702|16929|6|145|3
1550|-3879|1759|1|93|3
1551|13787|-22628|13|206|3
1552|-11933|-20112|4|91|3
1553|14957|15295|12|109|3
1554|4646|-6678|2|198|3
1555|-4101|-21311|2|44|3
1556|-10054|18065|6|168|3
1557|-22189|12802|11|204|3
1558|1376|-1366|2|151|3
1559|19644|16563|12|92|3
1560|551|-16580|2|24|3
1561|-11407|14982|7|132|3
1562|15861|-14062|13|135|3
1563|14113|-11704|13|135|3
1564|-18089|1521|9|150|3
1565|-13527|23517|6|200|3
1566|-17639|-2224|8|213|3
1567|-16987|12733|7|180|3
1568|-8879|-19393|4|108|3
1569|11553|15670|12|76|3
1570|-2695|6234|1|155|3
1571|18923|-6726|5|35|3
1572|22975|16996|12|92|3
1573|-3211|10372|1|155|3
1574|-16462|15330|11|180|3
1575|-18463|8929|9|204|3
1576|6604|-21844|13|28|3
1577|20228|4465|5|38|3
1578|4367|18021|10|61|3
1579|-21644|10287|9|160|3
1580|18464|713|5|131|3
1581|-7930|20693|6|168|3
1582|-354|-22412|2|67|3
1583|-9407|-363|9|144|3
1584|-1838|-22573|2|44|3
1585|4987|2439|12|102|3
1586|18054|328|5|131|3
1587|14765|16698|12|109|3
1588|3787|-11333|2|32|3
1589|22788|21040|12|21|3
1590|4819|-2516|2|19|3
1591|-16521|-5800|4|166|3
1592|-19241|-13797|4|123|3
1593|-12486|1022|9|105|3
1594|-15536|-23930|4|187|3
1595|-5277|-17825|4|104|3
1596|-186|-1829|2|163|3
1597|-20472|-9836|4|116|3
1598|-13238|-18652|4|91|3
1599|13381|-7834|13|106|3
1600|22461|-22088|13|94|3
1601|-6069|-5090|2|209|3
1602|2278|13004|10|18|3
1603|8772|-6356|13|147|3
1604|18361|6318|5|169|3
1605|-10139|-22941|4|205|3
1606|-7129|4641|3|93|3
1607|-6124|-8377|2|172|3
1608|-13887|-15238|4|90|3
1609|-23610|20428|11|174|3
1610|17704|14171|12|17|3
1611|17774|-14144|13|189|3
1612|20236|17565|12|80|3
1613|208|-2222|2|163|3
1614|8624|-3238|5|183|3
1615|22747|-16534|13|51|3
1616|-2545|-3912|2|146|3
1617|6680|10703|12|178|3
1618|1303|18346|10|48|3
1619|4968|-5944|2|198|3
1620|-2226|12865|10|185|3
1621|14069|-3228|5|78|3
1622|-346|-19231|2|75|3
1623|926|-11499|2|32|3
1624|3492|-11817|2|211|3
1625|-5237|-7561|2|209|3
1626|-11013|-6766|4|165|3
1627|18932|15722|12|92|3
1628|-3487|10893|1|155|3
1629|22067|-12041|13|77|3
1630|21604|23551|12|21|3
1631|4927|12641|10|118|3
1632|-7410|-14793|4|16|3
1633|14429|16903|12|109|3
1634|-12300|19111|6|45|3
1635|-20945|2210|8|150|3
1636|9756|-381|5|86|3
1637|6375|5952|12|33|3
1638|-13363|14621|7|145|3
1639|-21896|-9066|8|99|3
1640|5804|-10527|13|218|3
1641|-19773|643|8|150|3
1642|-6907|-13969|4|16|3
1643|-4278|-14107|2|122|3
1644|-15446|-13476|4|90|3
1645|9389|-5120|13|147|3
1646|14460|12975|12|20|3
1647|-19581|-5489|8|136|3
1648|-3922|3367|1|93|3
1649|-4400|10680|1|155|3
1650|14201|9695|12|199|3
1651|-14142|22441|6|200|3
1652|-18264|-10652|4|116|3
1653|14551|-12269|13|135|3
1654|15377|5445|5|68|3
1655|-14506|-13239|4|90|3
1656|7660|4145|12|142|3
1657|-17274|-9323|4|116|3
1658|-5774|20070|6|49|3
1659|12387|14304|12|20|3
1660|-5308|20154|6|49|3
1661|19285|-11145|13|221|3
1662|19265|114|5|131|3
1663|-6602|-16918|4|104|3
1664|16836|-11637|13|135|3
1665|-10613|-22104|4|30|3
1666|-14411|12028|7|167|3
1667|-11883|10112|7|167|3
1668|-427|-17302|2|75|3
1669|15013|21222|12|128|3
1670|-17943|-20088|4|89|3
1671|-16589|-17735|4|89|3
1672|-12147|-11426|4|31|3
1673|379|-3612|2|125|3
1674|12778|21395|12|128|3
1675|-7156|9439|7|43|3
1676|-1243|3622|1|55|3
1677|3389|-10768|2|32|3
1678|3464|16790|10|48|3
1679|22906|17242|12|80|3
1680|17814|-8489|5|35|3
1681|17632|-2784|5|131|3
1682|-5339|-11264|2|81|3
1683|13537|-22786|13|206|3
1684|-15668|19760|11|173|3
1685|20192|9944|5|73|3
1686|-21482|16986|11|174|3
1687|11653|-18954|13|190|3
1688|5848|700|12|156|3
1689|-7816|13555|7|158|3
1690|-8023|208|3|93|3
1691|7572|10354|12|178|3
1692|5443|-7725|2|218|3
1693|-4390|-17372|2|122|3
1694|12841|17716|12|110|3
1695|17142|-9051|13|35|3
1696|16502|6818|5|68|3
1697|-23619|-5256|8|192|3
1698|-1121|-18121|2|75|3
1699|-394|12155|10|185|3
1700|7876|-21375|13|120|3
1701|22982|-8093|5|203|3
1702|17778|22253|12|21|3
1703|-22602|-6340|8|56|3
1704|-13815|21821|6|200|3
1705|-10396|11233|7|97|3
1706|23520|19157|12|80|3
1707|22174|13374|5|207|3
1708|-6526|-23736|4|182|3
1709|-19568|19070|11|98|3
1710|-8465|-17410|4|108|3
1711|19341|-14391|13|189|3
1712|-10976|-13668|4|113|3
1713|-20650|16913|11|98|3
1714|23322|2349|5|82|3
1715|-12875|6193|7|175|3
1716|-4297|-20859|2|44|3
1717|-1327|17105|10|133|3
1718|-17982|11936|9|204|3
1719|-9169|-12851|4|14|3
1720|-1896|-10568|2|64|3
1721|-5737|9975|1|155|3
1722|17400|-18902|13|161|3
1723|-9699|-6185|4|87|3
1724|1566|14845|10|29|3
1725|-17213|-18606|4|89|3
1726|22294|-17404|13|191|3
1727|20118|22424|12|21|3
1728|-2944|15278|10|133|3
1729|10417|-2365|5|103|3
1730|-675|-18969|2|75|3
1731|944|6186|1|22|3
1732|-6531|-10907|4|172|3
1733|-5839|-4126|2|209|3
1734|7599|-7181|13|62|3
1735|-308|5018|1|22|3
1736|-17831|-8491|4|116|3
1737|17828|9981|5|73|3
1738|-17403|-2267|8|213|3
1739|-22095|-10216|4|99|3
1740|-14599|-978|9|105|3
1741|-17442|9376|9|204|3
1742|10914|-10075|13|212|3
1743|-5849|19931|6|49|3
1744|6729|-5266|2|198|3
1745|-18802|-6804|4|136|3
1746|5335|-2955|2|19|3
1747|-6544|-23290|4|104|3
1748|-9548|20096|6|168|3
1749|-20167|627|8|150|3
1750|-21282|-8497|8|99|3
1751|-14076|9982|7|63|3
1752|-7142|16496|6|184|3
1753|17734|-7224|5|35|3
1754|16068|5033|5|169|3
1755|-16767|-18493|4|89|3
1756|18583|5735|5|38|3
1757|17236|-22645|13|42|3
1758|21477|10153|5|216|3
1759|8745|14899|12|79|3
1760|579|-15796|2|24|3
1761|9676|-16438|13|121|3
1762|-2413|5434|1|155|3
1763|-5744|-14975|4|122|3
1764|12420|-3586|5|103|3
1765|13575|-11035|13|195|3
1766|4088|-15307|13|170|3
1767|17713|-19195|13|161|3
1768|22222|-18369|13|191|3
1769|11009|-13816|13|195|3
1770|-19611|-11723|4|123|3
1771|-11215|4137|7|54|3
1772|14109|-8362|13|106|3
1773|-9161|-8153|4|165|3
1774|-10019|100|9|144|3
1775|-3791|-4386|2|88|3
1776|-10351|9755|7|115|3
1777|20881|12253|5|59|3
1778|9315|-18058|13|190|3
1779|-3551|-20503|2|44|3
1780|-16182|-21874|4|187|3
1781|-17392|7630|9|63|3
1782|-15145|9400|7|63|3
1783|-8805|-2996|9|215|3
1784|-12792|-14592|4|113|3
1785|155|-11787|2|83|3
1786|13705|14040|12|20|3
1787|9947|-14652|13|220|3
1788|17462|10921|12|179|3
1789|-18288|-14980|4|123|3
1790|-255|10221|10|185|3
1791|-12059|20968|6|164|3
1792|-3019|-20714|2|44|3
1793|12306|-20878|13|190|3
1794|23756|15017|5|207|3
1795|-9938|-10781|4|14|3
1796|10444|7228|12|148|3
1797|19707|-5860|5|181|3
1798|-19977|20937|11|98|3
1799|-3242|-10022|2|64|3
1800|15679|14934|12|17|3
1801|-16479|13853|7|180|3
1802|583|-9043|2|32|3
1803|-20685|-11864|4|123|3
1804|21978|-6905|5|203|3
1805|-16881|10074|9|204|3
1806|-7242|-18550|4|104|3
1807|12645|12608|12|20|3
